dt,open,high,low,close,volume,symbol,dt_diff,RVOL,logreturns,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,mean,std,var,var_t,fft_5,fft_10,fft_100,fft_1000,r_fft_100,r_fft_500,r_fft_1000,r_fft_1500,High,Low,Adj Close
1990-03-06,0.6125,0.6471,0.6125,0.6471,8726900,LOW,-1.0,0.18908157448899088,0.054951899644338276,0.6103999999999997,0.6172761904761904,0.6179732331684494,0.6150021658042721,-0.0029710673641772933,0.01527441962029482,0.64782502971678,0.5867273512356008,0.635000549296472,-0.3529,0.0015002977273587828,0.01827549320418822,0.03158826165767633,0.027025001414622225,36.40657087413332,32.72655968468935,-4.331829334531012,0.509026322585298,0.004669264195063638,0.020039380975973974,0.032894586563614804,0.0368018251935175,20.549999,20.549999,20.549999
1990-03-07,0.6471,0.6616,0.6471,0.6616,6187100,LOW,-1.0,0.1725411926387311,0.022160301646261094,0.6190714285714283,0.6187904761904761,0.6213013862480652,0.6221743619106582,0.000872975662593034,0.018250655359538084,0.6552917869095523,0.5822891654714,0.6527335164321574,-0.33840000000000003,0.0035916070286372446,0.01875108944325026,0.030358039618102923,0.025676026387908606,36.29784828599744,32.51457667412662,-3.758640177831705,0.041690036097077054,0.004694904749652687,0.02077852575541851,0.03294863212504805,0.0421601369566101,19.1,19.1,19.1
1990-03-08,0.6645,0.6991,0.6616,0.6991,29296000,LOW,-1.0,0.1893872532722924,0.055132649808458056,0.6339285714285712,0.6223666666666665,0.627223300907263,0.6340136827516416,0.006790381844378635,0.02565906221365493,0.6736847910939764,0.5710485422393566,0.6836445054773859,-0.30089999999999995,0.006959432323401016,0.023002708645229,0.03468795210121697,0.028944339894938727,36.189126016843275,32.30274808133125,-3.169754936685133,0.03940198783953206,0.004714720918299757,0.020428093998140336,0.02470206155179631,0.0294380196436822,19.74,19.74,19.74
1990-03-09,0.6963,0.7078,0.6905,0.6905,8225000,LOW,-3.0,0.24264751583319993,-0.012377820668592776,0.6463142857142855,0.6256714285714284,0.632030002042841,0.6427067478750126,0.010676745832171597,0.02982431011246049,0.6853200487963494,0.5660228083465074,0.6882148351591285,-0.3095,0.006134244278828164,0.023487118195210276,0.036390184282555464,0.030525618468290404,36.080404940402396,32.09107938803576,-2.5704735405343335,0.4924372614705278,0.004730175279018641,0.019229303740171195,0.012199035001083389,0.007439557279242043,20.299999,20.299999,20.299999
1990-03-12,0.6934,0.6934,0.6818,0.6876,2133000,LOW,-1.0,0.25775624581624246,-0.0042086993406526,0.6582857142857141,0.6288380952380951,0.6362433179039003,0.6496153269386441,0.013372009034743781,0.03273515573588483,0.6943084067098647,0.5633677837663255,0.6878049450530428,-0.3124,0.006470460342617767,0.023286372906390452,0.035690510317183295,0.029876069169060857,35.97168592998512,31.879576068016856,-1.965944101932435,1.0632265115699602,0.004742748024529499,0.017501076798693244,0.0019500120716616865,-0.007074172035579572,20.07,20.07,20.07
1990-03-13,0.6818,0.6876,0.6818,0.6876,4119000,LOW,-1.0,0.24721155463908676,0.0,0.6694285714285712,0.6310380952380951,0.6401303938115231,0.6554605008413934,0.015330107029870255,0.035330417415264756,0.7016989300686246,0.5603772604075655,0.6876683150176809,-0.3124,0.008026951275750508,0.021889326381693764,0.03160460710611052,0.026138998506178047,35.86296985846998,31.668243586847755,-1.3611376490683629,1.3425550683636143,0.004753923828587467,0.015578928530409642,-0.000750329664932486,-0.004801766517169246,21.049999,21.049999,21.049999
1990-03-14,0.6876,0.6934,0.6847,0.6934,3885300,LOW,-1.0,0.25041307117920397,0.008399759742228896,0.6809857142857141,0.6339285714285713,0.6441557588325504,0.6612985114767125,0.017142752644162096,0.037960056569199714,0.7098486845669707,0.5580084582901719,0.6914894383392269,-0.3066,0.009545233460736057,0.020996145897068323,0.028469183584533823,0.023226595778066402,35.75425759829311,31.45708740165099,-0.7608243628237278,1.146859996235112,0.0047651786509473075,0.013755216359502378,0.005075660143527591,0.009284957856226985,19.65,19.65,19.65
1990-03-15,0.6934,0.7136,0.6905,0.7078,30568000,LOW,-1.0,0.22834541141635648,0.020554534660439883,0.6896571428571426,0.6377809523809522,0.6489579284072508,0.668453794426063,0.019495866018812258,0.041332586863661265,0.7204461261082747,0.5551157786536297,0.7023631461130756,-0.2922,0.010594570042574972,0.02113568770593131,0.027672493395198287,0.022395062994798435,35.64555002143768,31.24611296085164,-0.1695514401040446,0.6416750788161611,0.004777966575684734,0.012231444675173883,0.015514896000871543,0.023092186950504294,18.809998999999998,18.809998999999998,18.809998999999998
1990-03-16,0.7136,0.7396,0.7136,0.7309,20084400,LOW,-3.0,0.23877364179025262,0.03211508357498305,0.6995571428571427,0.642595238095238,0.6551322142310555,0.6780622753400759,0.022930061109020405,0.046154765677412335,0.7349047694500627,0.5502857067404133,0.7213877153710252,-0.2691,0.013703146189035979,0.020601331129022963,0.023596441890875862,0.018452436514675166,35.53684799942332,31.03532570393097,0.4083773062573175,0.20940779609116378,0.004793706777611251,0.011090828953843276,0.02412113560131346,0.028263480566839427,17.620001000000002,17.620001000000002,17.620001000000002
1990-03-19,0.728,0.7512,0.7194,0.7483,23441900,LOW,-1.0,0.27232162451907,0.02352731559996679,0.7065857142857143,0.6482380952380952,0.6621434093183172,0.6888693852252245,0.026725975906907284,0.0514889512930993,0.7512159978242938,0.5452601926518965,0.7393292384570084,-0.25170000000000003,0.01462502904976204,0.020718420892521135,0.022886555037568146,0.0177133131829496,35.42815240329561,30.82473106118055,0.9689200127572107,0.16611863004058053,0.00481377071088395,0.01029537983642515,0.025764423203020446,0.023881531563547772,18.290001,18.290001,18.290001
